time	V(nw_v)	V(u1:cap1)	V(u1:cap2)	V(u1:r_hs)	V(u1:rnorm)	V(u1:tsub)	I(I1)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_jsw)	I(u1:L_kinetic)	v(u1:Tsub)<02.720
0.000000000000000e+000	0.000000e+000	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	0.000000e+000	2.581989e-006	9.406041e-006	4.703020e+010	0.000000e+000	1.000000e+000
9.902079868325985e-002	2.418702e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	1.188250e-006	2.581989e-006	9.406041e-006	4.703020e+010	1.188250e-006	1.000000e+000
2.014207986832522e-001	2.479164e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	2.417049e-006	2.581989e-006	9.406041e-006	4.703020e+010	2.417049e-006	1.000000e+000
3.038207986832409e-001	2.587336e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	3.645850e-006	2.581989e-006	9.406041e-006	4.703020e+010	3.645850e-006	1.000000e+000
4.062207986832296e-001	2.754761e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	4.874650e-006	2.581989e-006	9.406041e-006	4.703020e+010	4.874650e-006	1.000000e+000
5.086207986832184e-001	3.001741e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	6.103450e-006	2.581989e-006	9.406041e-006	4.703020e+010	6.103450e-006	1.000000e+000
6.110207986832071e-001	3.363931e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	7.332249e-006	2.581989e-006	9.406041e-006	4.703020e+010	7.332249e-006	1.000000e+000
7.134207986831959e-001	3.906785e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	8.561050e-006	2.581989e-006	9.406041e-006	4.703020e+010	8.561050e-006	1.000000e+000
7.838367176908302e-001	3.171389e-012	0.000000e+000	8.217156e-019	0.000000e+000	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909379e-001	4.302777e-012	7.139610e-025	8.217156e-019	4.135355e-002	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909433e-001	4.509608e-012	5.941525e-025	8.217156e-019	3.441409e-002	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909541e-001	3.624844e-012	7.862422e-025	8.217156e-019	4.554017e-002	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909568e-001	3.597498e-012	7.750878e-025	8.217156e-019	4.489410e-002	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909622e-001	3.654753e-012	4.755665e-025	8.217156e-019	2.754543e-002	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909730e-001	1.736784e-012	7.862422e-025	8.217156e-019	4.554017e-002	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909756e-001	1.439774e-012	1.068496e-024	8.217156e-019	6.188871e-002	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367176909811e-001	1.962201e-007	1.788369e-024	8.217156e-019	1.035846e-001	1.500000e+006	2.000000e+000	9.406041e-006	2.581989e-006	9.406041e-006	4.703020e+010	9.406041e-006	1.000000e+000
7.838367206909810e-001	2.158584e-001	3.971754e-019	8.091192e-019	2.300490e+004	1.500000e+006	2.000002e+000	9.406041e-006	2.581989e-006	9.406040e-006	4.703020e+010	9.384455e-006	1.000000e+000
7.838367294403956e-001	8.358350e-001	1.549398e-018	7.725751e-019	8.974272e+004	1.500000e+006	2.000008e+000	9.406040e-006	2.581988e-006	9.406036e-006	4.703018e+010	9.322457e-006	1.000000e+000
7.838367381898101e-001	1.444128e+000	2.693481e-018	7.362876e-019	1.560088e+005	1.500000e+006	2.000013e+000	9.406040e-006	2.581987e-006	9.406033e-006	4.703017e+010	9.261628e-006	1.000000e+000
