time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
9.937272836012558e-011	-3.447266e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
2.017727283601305e-010	-3.343093e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
3.041727283601170e-010	-3.240232e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
4.065727283600955e-010	-3.134966e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
5.089727283600964e-010	-3.065737e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
6.113727283601278e-010	-2.997868e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
7.137727283601592e-010	-2.929940e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
8.161727283601906e-010	-2.862295e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
9.185727283602220e-010	-2.793587e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.020972728360253e-009	-2.725620e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.123372728360285e-009	-2.657620e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.225772728360316e-009	-2.590661e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.328172728360348e-009	-2.522927e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.430572728360379e-009	-2.455473e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.532972728360411e-009	-2.386240e-014	0.000000e+000	0.000000e+000	3.000000e+000	-1.332022e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
